July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Units are (°C).


RTD_time       	RTD_0     	RTD_1     	RTD_2     	RTD_3     	RTD_4     	RTD_5     	RTD_6     	RTD_7     
8195.859811	-244.771	-244.772	-244.775	-244.775	-244.776	-244.777	-244.777	-244.775
8195.959543	-244.697	-244.702	-244.708	-244.712	-244.718	-244.724	-244.729	-244.734
8196.059274	-244.654	-244.652	-244.651	-244.649	-244.650	-244.650	-244.651	-244.652
8196.160015	-244.692	-244.685	-244.681	-244.676	-244.672	-244.668	-244.664	-244.660
8196.259744	-244.769	-244.764	-244.762	-244.757	-244.753	-244.749	-244.744	-244.738
8196.359476	-244.757	-244.760	-244.764	-244.766	-244.769	-244.772	-244.774	-244.774
8196.459202	-244.660	-244.662	-244.666	-244.669	-244.673	-244.678	-244.683	-244.687
8196.559946	-244.651	-244.650	-244.651	-244.650	-244.652	-244.654	-244.657	-244.658
8196.659684	-244.728	-244.721	-244.716	-244.710	-244.705	-244.699	-244.694	-244.688
8196.759403	-244.778	-244.776	-244.776	-244.774	-244.773	-244.771	-244.768	-244.764
8196.860129	-244.713	-244.717	-244.723	-244.728	-244.733	-244.739	-244.744	-244.747
8196.959862	-244.651	-244.650	-244.652	-244.652	-244.655	-244.657	-244.660	-244.662
8197.059597	-244.723	-244.717	-244.712	-244.705	-244.700	-244.695	-244.690	-244.684
8197.159337	-244.768	-244.769	-244.772	-244.773	-244.775	-244.776	-244.777	-244.776
8197.260176	-244.752	-244.756	-244.760	-244.763	-244.766	-244.769	-244.772	-244.773
8197.359454	-244.666	-244.662	-244.659	-244.656	-244.654	-244.652	-244.651	-244.649
8197.459189	-244.767	-244.763	-244.760	-244.755	-244.751	-244.747	-244.742	-244.736
8197.559916	-244.776	-244.776	-244.777	-244.776	-244.776	-244.775	-244.774	-244.771
8197.659660	-244.692	-244.696	-244.702	-244.706	-244.712	-244.718	-244.724	-244.728
