July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Units are (°C).


TC_time        	TC_0	TC_1	TC_2	TC_3	TC_4	TC_5	TC_6	TC_7	TC_8	TC_9	TC_10	TC_11	TC_12	TC_13	TC_14	TC_15
8195.759794	-7.560	0.764	6.523	15.949	23.031	30.826	38.806	49.115	57.590	66.122	73.116	83.948	92.075	99.873	107.393	114.375
8195.760788	53.051	63.584	71.213	81.852	89.780	97.906	105.730	115.326	122.691	129.653	134.671	142.998	148.270	152.820	156.719	159.733
8195.761782	113.593	122.848	128.867	137.420	142.934	148.266	152.943	159.035	162.613	165.503	166.202	169.962	170.488	170.129	168.994	166.884
8195.762782	154.743	160.483	162.747	167.283	168.584	169.516	169.638	171.050	169.864	167.939	163.804	162.749	158.510	153.473	147.779	141.260
8195.763780	168.572	169.679	167.249	167.056	163.631	159.871	155.372	152.271	146.705	140.565	132.401	127.567	119.781	111.468	102.790	93.595
8195.764775	150.016	146.416	139.435	134.908	127.362	119.742	111.663	105.319	96.815	88.085	77.661	71.036	61.795	52.427	43.104	33.678
8195.765777	104.469	97.962	88.369	81.643	72.220	63.111	53.938	46.974	38.207	29.637	19.736	14.235	6.441	-1.041	-8.077	-14.854
8195.766781	33.231	26.764	17.597	11.982	4.064	-2.971	-9.606	-13.388	-18.589	-23.092	-28.545	-28.906	-31.310	-33.050	-33.989	-34.353
8195.767776	-17.087	-20.054	-25.470	-26.762	-30.135	-32.288	-33.689	-31.910	-31.420	-30.100	-29.660	-24.112	-20.652	-16.625	-11.951	-6.912
8195.768768	-34.566	-31.285	-30.392	-25.311	-22.331	-18.203	-13.457	-5.806	0.284	6.900	12.371	22.325	29.915	37.629	45.517	53.304
