July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8195.767793	0.000	-8.306	-8.564	-9.036	-9.145	-9.435	-9.617	-9.733	-9.574	-9.526	-9.405	-9.362	-8.870	-8.561	-8.200	-7.781	-7.326	-6.708	-5.980	-5.354	-4.618	-3.606	-2.975	-2.257	-1.458	-0.614	0.342	1.232	2.078	2.905	3.703	4.340	5.223
8195.768781	0.000	-9.800	-9.510	-9.427	-8.977	-8.710	-8.341	-7.916	-7.228	-6.670	-6.062	-5.555	-4.630	-3.919	-3.192	-2.445	-1.703	-0.840	0.088	0.868	1.711	2.781	3.422	4.101	4.812	5.521	6.296	6.958	7.534	8.049	8.496	8.744	9.207
8195.769773	0.000	-6.921	-6.122	-5.555	-4.651	-3.963	-3.209	-2.437	-1.445	-0.627	0.196	0.869	1.912	2.691	3.436	4.150	4.809	5.540	6.287	6.838	7.408	8.161	8.444	8.728	9.007	9.253	9.536	9.682	9.720	9.682	9.563	9.237	9.121
8195.770772	0.000	-0.819	0.195	0.928	1.950	2.705	3.476	4.213	5.120	5.804	6.443	6.884	7.650	8.108	8.491	8.805	9.028	9.291	9.541	9.571	9.598	9.792	9.504	9.208	8.905	8.568	8.274	7.853	7.337	6.764	6.131	5.318	4.746
8195.771773	0.000	4.840	5.715	6.266	7.065	7.559	8.031	8.435	8.977	9.266	9.484	9.481	9.783	9.762	9.651	9.464	9.180	8.935	8.680	8.212	7.751	7.471	6.726	5.995	5.281	4.561	3.915	3.174	2.374	1.555	0.715	-0.262	-0.958
8195.772771	0.000	8.776	9.242	9.357	9.697	9.711	9.688	9.583	9.608	9.375	9.070	8.548	8.337	7.814	7.217	6.561	5.831	5.166	4.519	3.690	2.903	2.335	1.340	0.400	-0.480	-1.323	-2.047	-2.820	-3.606	-4.367	-5.102	-5.932	-6.436
8195.773764	0.000	9.317	9.265	8.863	8.688	8.197	7.679	7.095	6.659	5.988	5.271	4.366	3.804	2.964	2.087	1.190	0.261	-0.562	-1.323	-2.222	-3.033	-3.581	-4.510	-5.340	-6.067	-6.713	-7.200	-7.696	-8.168	-8.581	-8.936	-9.356	-9.425
8195.774772	0.000	6.033	5.527	4.699	4.130	3.279	2.439	1.573	0.897	0.029	-0.839	-1.848	-2.468	-3.318	-4.156	-4.967	-5.764	-6.409	-6.947	-7.579	-8.084	-8.287	-8.836	-9.252	-9.535	-9.711	-9.705	-9.690	-9.635	-9.510	-9.319	-9.191	-8.713
8195.775761	0.000	0.642	-0.035	-0.991	-1.645	-2.537	-3.374	-4.193	-4.778	-5.511	-6.202	-6.995	-7.357	-7.913	-8.423	-8.873	-9.279	-9.506	-9.602	-9.773	-9.800	-9.511	-9.559	-9.469	-9.245	-8.915	-8.410	-7.905	-7.374	-6.790	-6.161	-5.619	-4.754
8195.776760	0.000	-5.087	-5.627	-6.404	-6.838	-7.470	-8.009	-8.495	-8.714	-9.052	-9.321	-9.667	-9.563	-9.636	-9.649	-9.593	-9.488	-9.202	-8.788	-8.455	-7.987	-7.218	-6.803	-6.271	-5.628	-4.909	-4.044	-3.212	-2.391	-1.554	-0.712	0.001	0.995
